Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Age,Education_Group,Total_Children,Total_Campaign_Accepted,Customer_Tenure_Days,Total_Purchases,Total_Spending,Spending_Per_Purchase
Partnered,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,56,Undergraduate,1,0,165,26,889,32.925925925925924
Divorced,48799.0,9,174,18,81,28,6,24,3,3,2,7,3,0,63,Postgraduate,1,0,236,15,331,20.6875
Partnered,52157.0,48,189,2,29,3,2,40,2,3,2,5,4,0,76,Postgraduate,1,0,22,12,265,20.384615384615383
Single,66565.0,80,747,10,161,65,40,42,4,4,2,9,8,0,64,Graduate,1,0,571,19,1065,53.25
Partnered,29298.0,60,6,0,2,2,0,1,1,1,0,2,5,0,75,Postgraduate,2,0,295,4,11,2.2
Single,47691.0,43,14,0,3,0,0,4,1,1,0,2,6,0,47,Graduate,1,0,359,4,21,4.2
Partnered,38200.0,19,12,0,4,0,0,1,1,1,0,2,7,0,56,Graduate,2,0,569,4,17,3.4
Partnered,44989.0,26,98,0,106,49,10,106,5,5,1,5,6,0,52,Graduate,1,0,655,16,369,21.705882352941178
Partnered,38443.0,58,32,0,5,0,0,1,2,1,0,3,7,0,58,Postgraduate,2,0,153,6,38,5.428571428571429
Single,38593.0,42,51,12,49,17,24,24,3,4,1,3,8,0,48,Undergraduate,1,0,289,11,177,14.75
Partnered,64413.0,27,200,5,44,0,10,20,1,5,1,5,5,0,56,Postgraduate,1,0,332,12,279,21.46153846153846
Partnered,36959.0,56,25,6,25,6,0,0,2,2,0,3,8,0,45,Postgraduate,1,0,270,7,62,7.75
Partnered,61996.0,27,1050,12,144,0,0,24,3,6,4,8,5,1,49,Postgraduate,1,3,514,21,1230,55.90909090909091
Partnered,51287.0,10,117,0,22,13,0,30,3,4,1,3,7,0,58,Graduate,2,0,89,11,182,15.166666666666666
Partnered,13260.0,48,9,4,17,10,2,7,4,3,0,3,8,0,56,Graduate,2,0,310,10,49,4.454545454545454
Partnered,47472.0,39,56,0,11,0,0,8,2,2,0,4,5,0,60,Postgraduate,2,0,286,8,75,8.333333333333334
Partnered,54603.0,85,145,13,46,17,2,4,6,4,2,4,7,0,70,Postgraduate,2,0,355,16,227,13.352941176470589
Partnered,45207.0,64,203,0,10,0,0,2,5,3,1,6,6,0,52,Postgraduate,2,1,596,15,215,13.4375
Partnered,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,75,Graduate,1,0,468,20,444,21.142857142857142
Partnered,47821.0,54,9,0,16,6,6,10,1,1,0,3,8,0,59,Undergraduate,2,0,252,5,47,7.833333333333333
Partnered,27450.0,57,37,12,23,8,11,52,1,2,1,3,7,0,75,Postgraduate,0,0,440,7,143,17.875
Partnered,39453.0,64,46,0,7,0,0,2,2,2,0,3,6,0,43,Graduate,1,0,87,7,55,6.875
Partnered,26850.0,10,31,1,13,7,2,9,4,2,1,4,4,0,55,Undergraduate,2,0,72,11,63,5.25
Widow,79800.0,65,1060,21,530,32,0,224,1,5,11,5,3,1,71,Graduate,0,3,644,22,1867,81.17391304347827
Partnered,61794.0,74,264,47,188,54,47,11,2,4,4,10,2,0,65,Postgraduate,1,0,288,20,611,29.095238095238095
Partnered,53863.0,4,399,4,30,6,4,30,3,7,1,7,7,0,71,Graduate,1,1,43,18,473,24.894736842105264
Partnered,24221.0,94,8,9,9,2,5,22,1,1,1,3,4,0,67,Graduate,0,0,313,6,55,7.857142857142857
Single,39684.0,41,19,0,35,6,4,17,2,2,1,2,7,1,42,Postgraduate,1,0,625,7,81,10.125
Partnered,92163.0,25,817,183,797,106,163,20,0,5,11,5,2,1,51,Postgraduate,0,2,564,21,2086,94.81818181818181
Single,69882.0,94,292,127,635,132,127,165,1,3,7,9,1,0,61,Postgraduate,0,0,231,20,1478,70.38095238095238
Partnered,33178.0,9,12,6,2,11,2,16,1,1,0,3,4,0,49,Graduate,1,0,150,5,49,8.166666666666666
Partnered,59973.0,47,130,30,168,20,34,0,1,3,4,7,1,0,54,Postgraduate,0,0,291,15,382,23.875
Partnered,17459.0,12,6,4,16,3,10,30,3,3,1,2,7,1,51,Postgraduate,1,0,283,9,69,6.9
Divorced,23910.0,80,16,12,18,7,1,13,1,2,0,3,7,0,57,Graduate,1,0,611,6,67,9.571428571428571
Partnered,42169.0,20,19,0,9,0,0,2,2,1,0,3,8,0,57,Postgraduate,2,0,253,6,30,4.285714285714286
Partnered,26224.0,39,4,7,15,13,9,15,3,2,1,3,6,0,48,Undergraduate,1,0,390,9,63,6.3
Partnered,31089.0,57,31,3,31,2,8,4,3,3,0,4,8,0,45,Graduate,1,0,681,10,79,7.181818181818182
Single,30081.0,27,36,0,2,0,0,4,1,1,0,3,7,0,65,Graduate,1,0,493,5,42,7.0
Partnered,62807.0,83,526,28,135,10,21,99,3,5,3,12,5,0,66,Graduate,1,0,667,23,819,34.125
Single,72906.0,79,400,32,519,71,75,54,1,3,4,9,1,0,71,Graduate,0,0,285,17,1151,63.94444444444444
Partnered,61467.0,69,410,16,114,0,5,49,3,5,2,10,5,0,78,Postgraduate,2,0,567,20,594,28.285714285714285
Partnered,49618.0,77,80,3,26,4,2,14,4,3,1,3,7,0,60,Postgraduate,2,0,519,11,129,10.75
Single,21888.0,15,88,10,46,2,3,64,4,5,1,2,10,1,40,Postgraduate,1,0,547,12,213,16.384615384615383
Widow,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,53,Graduate,1,0,138,7,67,8.375
Divorced,26150.0,61,5,1,13,3,5,1,1,1,0,3,7,0,70,Graduate,3,0,475,5,28,4.666666666666667
Partnered,30801.0,23,8,4,5,15,2,11,2,1,0,3,7,0,51,Undergraduate,1,0,611,6,45,6.428571428571429
Partnered,81168.0,84,410,0,592,147,22,22,1,6,4,7,3,0,61,Graduate,0,1,53,18,1193,62.78947368421053
Single,26877.0,74,101,13,76,20,18,40,2,3,1,6,6,0,57,Postgraduate,0,0,314,12,268,20.615384615384617
Widow,45006.0,90,162,25,53,16,0,10,1,3,1,7,3,0,82,Postgraduate,0,0,346,12,266,20.46153846153846
Partnered,18978.0,41,2,8,1,4,7,15,1,1,0,3,8,0,53,Undergraduate,1,0,565,5,37,6.166666666666667
Partnered,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,59,Graduate,3,0,244,7,37,4.625
Single,48240.0,73,389,91,248,64,49,41,3,6,3,13,5,1,57,Postgraduate,0,0,597,25,882,33.92307692307692
Partnered,45837.0,88,215,13,87,17,17,24,5,6,2,5,7,0,52,Graduate,2,0,338,18,373,19.63157894736842
Single,35791.0,94,27,0,5,0,0,3,2,1,0,3,8,0,61,Postgraduate,3,0,419,6,35,5.0
Partnered,162397.0,31,85,1,16,2,1,2,0,0,0,1,1,0,50,Postgraduate,2,0,391,1,107,53.5
Widow,54162.0,31,5,6,10,6,5,10,1,1,0,3,4,0,48,Graduate,2,0,468,5,42,7.0
Partnered,30522.0,6,179,8,83,19,11,26,5,1,2,9,2,0,66,Postgraduate,1,0,681,17,326,18.11111111111111
Partnered,54456.0,23,352,0,27,10,0,15,3,6,1,7,6,0,65,Postgraduate,1,0,353,17,404,22.444444444444443
Single,31632.0,92,17,8,12,11,15,32,1,2,1,2,7,0,55,Graduate,0,0,350,6,95,13.571428571428571
Widow,72298.0,52,625,35,169,58,17,35,1,4,3,6,1,0,77,Graduate,0,2,111,14,939,62.6
Single,36975.0,50,10,6,11,0,4,2,1,1,0,3,7,0,48,Undergraduate,1,0,183,5,33,5.5
Partnered,72635.0,54,390,22,323,104,35,107,1,6,8,6,3,0,71,Undergraduate,0,1,391,21,981,44.59090909090909
Partnered,13624.0,93,10,2,15,2,1,6,2,2,0,3,6,0,50,Graduate,1,0,525,7,36,4.5
Single,84196.0,56,215,63,507,231,31,190,1,8,4,7,3,0,51,Graduate,1,0,391,20,1237,58.904761904761905
Partnered,70971.0,28,1001,17,572,93,125,17,7,11,11,5,7,1,66,Graduate,1,0,646,34,1825,52.142857142857146
Divorced,34487.0,94,19,18,33,24,1,8,3,3,0,3,9,0,49,Postgraduate,2,0,661,9,103,10.3
Single,28769.0,76,41,5,129,10,3,3,3,4,1,4,9,0,49,Graduate,1,0,558,12,191,14.692307692307692
Partnered,69084.0,43,1181,107,199,39,30,30,2,7,3,13,8,0,56,Postgraduate,1,0,222,25,1586,61.0
Partnered,65488.0,46,603,45,207,36,18,54,1,3,4,6,1,0,68,Postgraduate,0,0,16,14,963,64.2
Partnered,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,56,Undergraduate,1,0,165,26,889,32.925925925925924
Single,32218.0,27,10,24,15,13,1,30,1,2,1,3,7,1,66,Undergraduate,0,1,134,7,93,11.625
Single,83917.0,12,514,22,732,42,198,79,1,6,7,7,3,1,53,Graduate,0,0,437,21,1587,72.13636363636364
Divorced,46102.0,3,14,0,1,0,0,1,1,1,0,2,7,0,64,Graduate,3,0,111,4,16,3.2
Single,84574.0,72,387,20,713,38,54,163,1,9,11,11,5,0,74,Graduate,0,0,390,32,1375,41.666666666666664
Partnered,56181.0,6,121,103,69,8,44,48,1,4,2,7,4,0,64,Graduate,1,0,537,14,393,26.2
Divorced,63120.0,53,965,69,279,54,41,69,5,8,4,9,7,1,76,Postgraduate,1,0,639,26,1477,54.7037037037037
Partnered,73691.0,58,707,21,250,85,43,73,2,6,2,8,2,0,55,Graduate,1,1,235,18,1179,62.05263157894737
Partnered,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,66,Graduate,1,0,632,26,1005,37.22222222222222
Partnered,76140.0,57,586,66,653,17,0,26,1,5,9,6,2,0,78,Postgraduate,0,0,47,21,1348,61.27272727272727
Divorced,62859.0,37,1063,89,102,16,12,25,4,9,4,6,6,0,67,Postgraduate,1,0,546,23,1307,54.458333333333336
Single,45906.0,20,305,3,27,4,3,144,2,5,4,4,5,0,62,Graduate,1,1,418,15,486,30.375
Partnered,77632.0,73,1200,105,758,0,42,147,1,4,2,6,2,1,79,Postgraduate,0,2,476,13,2252,160.85714285714286
Partnered,46463.0,56,163,2,40,8,11,11,7,3,1,6,6,0,55,Postgraduate,2,0,315,17,235,13.055555555555555
Partnered,105471.0,36,1009,181,104,202,21,207,0,9,8,13,3,1,56,Graduate,0,2,524,30,1724,55.61290322580645
Divorced,55282.0,9,125,6,73,8,4,19,1,3,1,6,4,0,56,Postgraduate,1,0,198,11,235,19.583333333333332
Partnered,78710.0,42,721,0,152,119,50,50,3,7,6,12,4,0,49,Postgraduate,1,0,37,28,1092,37.6551724137931
Partnered,66886.0,28,315,4,62,41,31,146,2,7,1,7,5,0,68,Graduate,1,0,286,17,599,33.27777777777778
Single,98777.0,23,1000,19,711,125,115,38,0,4,6,9,1,0,66,Postgraduate,0,1,132,19,2008,100.4
Partnered,29103.0,38,16,0,17,6,3,6,2,1,0,3,9,0,41,Graduate,1,0,671,6,48,6.857142857142857
Partnered,67445.0,63,757,80,217,29,80,11,5,9,6,12,6,0,52,Graduate,1,0,686,32,1174,35.57575757575758
Partnered,50616.0,71,30,2,25,0,1,9,1,1,1,4,2,0,76,Postgraduate,1,0,77,7,67,8.375
Divorced,49431.0,9,219,3,100,26,0,17,2,7,1,5,8,0,71,Graduate,1,0,695,15,365,22.8125
Divorced,153924.0,81,1,1,1,1,1,1,0,0,0,0,0,0,51,Graduate,0,0,142,0,6,6.0
Partnered,61278.0,87,111,3,28,2,6,15,2,3,1,4,6,0,73,Graduate,1,0,176,10,165,15.0
Partnered,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,68,Undergraduate,0,0,645,11,210,17.5
Partnered,73059.0,36,410,112,420,0,82,71,1,9,3,13,4,0,79,Postgraduate,1,0,302,26,1095,40.55555555555556
Single,46734.0,86,100,1,39,6,1,76,4,3,2,3,6,0,60,Postgraduate,3,1,251,12,223,17.153846153846153
Partnered,56253.0,83,509,0,65,7,11,5,4,7,2,9,6,0,63,Graduate,1,0,569,22,597,25.956521739130434
Partnered,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,41,Graduate,1,0,227,4,22,4.4
Widow,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,51,Graduate,1,0,186,24,1064,42.56
Partnered,25965.0,29,2,2,11,41,7,11,1,2,0,3,8,0,46,Undergraduate,0,0,660,6,74,10.571428571428571
Partnered,14661.0,88,4,1,11,6,2,2,1,1,0,3,6,0,70,Postgraduate,0,0,544,5,26,4.333333333333333
Partnered,18690.0,77,6,1,7,23,4,19,1,1,1,2,8,0,67,Graduate,0,0,548,5,60,10.0
Partnered,45068.0,25,14,0,3,0,0,3,1,1,0,2,7,0,52,Postgraduate,1,0,409,4,20,4.0
Single,21063.0,34,1,10,11,19,3,15,2,2,0,3,6,0,39,Undergraduate,1,0,277,7,59,7.375
Partnered,29187.0,43,26,0,6,0,0,2,1,1,0,3,8,0,58,Postgraduate,1,0,416,5,34,5.666666666666667
Partnered,54690.0,76,111,16,37,7,9,18,3,3,1,5,3,0,55,Undergraduate,2,0,234,12,198,15.23076923076923
Partnered,59304.0,81,418,61,428,80,51,10,3,7,8,10,5,0,62,Postgraduate,1,0,335,28,1048,36.13793103448276
Single,59247.0,87,327,9,122,19,14,83,5,5,2,9,6,0,64,Postgraduate,2,0,233,21,574,26.09090909090909
Widow,66731.0,33,371,159,194,58,106,141,4,4,3,6,3,0,56,Graduate,1,0,655,17,1029,57.166666666666664
Partnered,77353.0,38,275,59,107,69,101,59,2,6,4,8,4,0,46,Graduate,1,0,195,20,670,31.904761904761905
Single,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,51,Postgraduate,1,0,575,16,990,58.23529411764706
Partnered,26751.0,26,1,1,5,0,3,1,1,1,0,2,8,0,52,Graduate,2,0,38,4,11,2.2
Partnered,81300.0,17,1004,12,145,32,12,36,3,10,3,5,5,1,63,Postgraduate,1,1,607,21,1241,56.40909090909091
Single,70337.0,75,187,81,149,25,43,91,1,2,2,12,1,0,47,Graduate,0,0,178,17,576,32.0
Partnered,36145.0,13,56,4,76,17,1,18,4,4,1,3,9,1,41,Undergraduate,1,1,378,12,172,13.23076923076923
Single,65295.0,19,365,32,117,34,110,6,1,3,3,13,2,0,46,Postgraduate,0,0,188,20,664,31.61904761904762
Divorced,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,0,63,Graduate,1,0,254,23,928,38.666666666666664
Divorced,68743.0,81,1132,134,384,175,134,115,1,11,5,13,7,0,59,Graduate,0,0,668,30,2074,66.90322580645162
Partnered,41039.0,32,34,11,137,179,61,45,1,8,1,5,8,0,44,Undergraduate,0,0,339,15,467,29.1875
Partnered,38946.0,84,116,6,82,6,6,41,2,3,1,6,5,0,71,Graduate,1,0,248,12,257,19.76923076923077
Partnered,65777.0,87,565,32,435,28,32,54,1,2,8,6,1,0,59,Graduate,0,0,192,17,1146,63.666666666666664
Divorced,66476.0,99,372,18,126,47,48,78,2,5,2,11,4,0,50,Postgraduate,1,0,479,20,689,32.80952380952381
Single,86857.0,96,899,102,838,133,102,40,1,5,6,10,2,1,54,Postgraduate,0,0,655,22,2114,91.91304347826087
Partnered,160803.0,21,55,16,1622,17,3,4,15,0,28,1,0,0,44,Postgraduate,0,0,694,44,1717,38.15555555555556
Partnered,77845.0,40,760,40,480,0,40,26,1,3,5,12,1,0,37,Postgraduate,0,2,44,21,1346,61.18181818181818
Partnered,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,0,57,Postgraduate,0,0,272,15,1044,65.25
Divorced,50611.0,98,459,0,24,6,0,4,6,4,5,7,6,1,66,Postgraduate,1,1,633,22,493,21.434782608695652
Single,61209.0,73,466,0,224,119,49,99,1,5,3,4,2,0,56,Graduate,0,0,308,13,957,68.35714285714286
Partnered,42315.0,90,67,15,80,17,11,80,3,1,4,4,3,0,68,Postgraduate,1,0,352,12,270,20.76923076923077
Partnered,13084.0,29,2,0,7,3,7,10,1,1,0,3,6,0,74,Undergraduate,0,0,239,5,29,4.833333333333333
Widow,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,1,77,Postgraduate,2,0,396,9,121,12.1
Partnered,61923.0,94,92,4,18,3,3,6,1,2,1,4,3,0,65,Postgraduate,2,0,338,8,126,14.0
Single,34824.0,65,4,2,11,2,0,4,1,1,0,2,6,0,31,Graduate,0,0,95,4,23,4.6
Single,26518.0,33,20,1,28,3,3,2,3,2,0,3,8,1,77,Postgraduate,2,0,447,8,57,6.333333333333333
Single,45938.0,46,273,11,178,62,83,29,2,8,4,6,6,0,65,Graduate,0,0,238,20,636,30.285714285714285
Partnered,78468.0,29,434,22,388,104,22,34,1,10,7,10,4,0,66,Graduate,0,1,81,28,1004,34.62068965517241
Divorced,78901.0,99,321,11,309,33,26,34,3,9,3,5,4,0,53,Graduate,1,0,285,20,734,34.95238095238095
Partnered,71427.0,26,212,123,177,15,64,23,2,8,2,8,4,0,48,Graduate,2,0,109,20,614,29.238095238095237
Divorced,71022.0,30,909,12,278,0,12,242,3,5,2,11,8,0,48,Graduate,1,1,138,21,1453,66.04545454545455
Single,90247.0,27,1184,32,352,21,16,16,1,3,4,7,1,1,38,Postgraduate,0,3,61,15,1621,101.3125
Divorced,41335.0,24,112,19,21,16,14,5,3,4,1,4,7,0,58,Postgraduate,1,0,185,12,187,14.384615384615385
Partnered,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,0,40,Graduate,1,2,535,22,1443,62.73913043478261
Divorced,35682.0,34,23,0,8,6,2,18,1,1,1,3,2,0,56,Postgraduate,1,0,2,6,57,8.142857142857142
Divorced,43185.0,88,537,6,42,16,6,30,2,9,3,6,8,0,75,Graduate,1,0,445,20,637,30.333333333333332
Partnered,66375.0,96,712,0,45,0,0,191,3,2,4,5,7,0,78,Postgraduate,1,1,220,14,948,63.2
Partnered,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,1,55,Postgraduate,1,1,535,5,59,9.833333333333334
Partnered,25252.0,26,1,3,4,2,2,6,1,1,0,2,8,0,40,Graduate,1,0,352,4,18,3.6
Single,55250.0,49,664,58,83,32,0,66,4,7,5,10,5,0,61,Postgraduate,1,0,616,26,903,33.44444444444444
Single,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,0,51,Graduate,1,0,494,8,112,12.444444444444445
Partnered,58398.0,44,299,5,201,21,21,49,3,5,4,8,4,0,73,Graduate,0,0,411,20,596,28.38095238095238
Partnered,50272.0,75,99,13,66,43,8,4,3,4,1,5,7,0,44,Graduate,1,0,326,13,233,16.642857142857142
Partnered,76618.0,64,749,40,294,121,160,147,1,3,2,5,1,0,51,Postgraduate,0,0,569,11,1511,125.91666666666667
Divorced,87305.0,19,345,25,501,63,138,80,1,5,3,8,2,1,66,Undergraduate,0,1,644,17,1152,64.0
Partnered,25851.0,45,9,4,18,7,5,5,2,2,0,3,7,0,48,Graduate,1,0,503,7,48,6.0
Divorced,58710.0,77,440,81,368,0,122,174,6,11,5,9,6,0,56,Graduate,1,0,455,31,1185,37.03125
Single,45160.0,9,8,2,5,3,0,3,1,1,0,2,7,0,68,Graduate,2,0,92,4,21,4.2
Partnered,74806.0,1,670,9,249,0,28,9,2,5,4,5,4,0,61,Postgraduate,1,0,557,16,965,56.76470588235294
Partnered,59111.0,90,524,0,134,28,28,155,1,11,1,8,7,0,72,Graduate,0,0,423,21,869,39.5
Partnered,18988.0,43,6,0,6,2,1,1,2,1,0,3,7,0,42,Postgraduate,1,0,37,6,16,2.2857142857142856
Partnered,72190.0,79,597,166,597,172,166,249,1,5,6,4,3,0,61,Graduate,0,0,501,16,1947,114.52941176470588
Partnered,7500.0,19,7,0,12,13,7,32,5,4,1,2,9,1,50,Graduate,1,1,697,12,71,5.461538461538462
Partnered,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,60,Graduate,1,0,21,6,65,9.285714285714286
Partnered,80395.0,62,445,25,706,80,76,48,1,6,5,12,2,0,71,Graduate,0,1,218,24,1380,55.2
Divorced,75012.0,41,294,142,218,164,58,151,1,3,8,11,1,0,50,Postgraduate,0,0,155,23,1027,42.791666666666664
Partnered,56962.0,60,292,3,77,10,3,26,7,6,3,5,7,0,61,Postgraduate,3,0,261,21,411,18.681818181818183
Partnered,89891.0,17,412,22,132,59,28,183,1,11,6,8,4,0,35,Graduate,0,1,440,26,836,30.962962962962962
Divorced,35946.0,24,8,0,3,0,0,0,1,0,0,3,5,0,77,Postgraduate,2,0,275,4,11,2.2
Partnered,53593.0,60,349,4,78,6,0,43,8,7,2,6,8,0,73,Postgraduate,2,0,691,23,480,20.0
Partnered,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,48,Graduate,2,0,382,23,606,25.25
Divorced,45072.0,74,144,2,99,7,2,30,5,6,1,4,8,0,78,Postgraduate,3,0,256,16,284,16.705882352941178
Divorced,89694.0,22,1126,28,211,37,28,42,3,4,3,4,5,0,53,Graduate,2,3,263,14,1472,98.13333333333334
Partnered,72025.0,46,967,0,617,43,50,0,1,4,8,13,2,1,77,Graduate,0,3,61,26,1677,62.111111111111114
Partnered,67432.0,69,432,79,341,177,136,170,2,8,5,4,4,0,53,Graduate,1,0,457,19,1335,66.75
Partnered,70545.0,29,138,39,63,55,18,21,1,4,1,7,2,0,74,Postgraduate,1,0,26,13,334,23.857142857142858
Partnered,17487.0,37,0,0,1,7,4,6,1,1,0,2,7,0,37,Undergraduate,1,0,468,4,18,3.6
Partnered,62882.0,26,509,133,497,78,24,97,2,7,5,6,4,0,57,Graduate,1,0,689,20,1338,63.714285714285715
Single,64108.0,8,948,10,86,13,21,21,4,6,9,11,5,0,73,Postgraduate,1,0,463,30,1099,35.45161290322581
Partnered,34941.0,26,39,2,25,4,3,24,2,3,0,3,8,0,70,Postgraduate,2,0,480,8,97,10.777777777777779
Single,48767.0,79,28,1,21,3,0,10,3,2,1,3,5,0,76,Postgraduate,3,0,179,9,63,6.3
Partnered,38702.0,71,13,11,24,13,8,40,2,3,0,4,6,0,48,Undergraduate,1,0,332,9,109,10.9
Partnered,82224.0,83,307,26,360,138,31,40,1,6,9,5,3,0,62,Graduate,0,1,155,21,902,41.0
Partnered,83844.0,57,901,31,345,75,31,191,1,4,4,11,1,0,74,Graduate,0,1,413,20,1574,74.95238095238095
Partnered,17003.0,37,2,5,12,4,8,7,3,2,0,4,5,0,51,Undergraduate,1,0,202,9,38,3.8
Single,71163.0,30,283,17,372,138,106,44,1,3,8,12,1,0,31,Graduate,0,0,112,24,960,38.4
Single,33697.0,34,4,3,7,0,3,11,1,1,0,2,7,0,56,Graduate,1,1,287,4,28,5.6
Partnered,63564.0,0,769,80,252,15,34,65,1,10,10,7,6,1,72,Undergraduate,0,1,151,28,1215,41.89655172413793
Partnered,83443.0,89,518,42,742,55,56,84,1,6,10,5,2,0,54,Postgraduate,0,0,180,22,1497,65.08695652173913
Partnered,51518.0,92,350,8,66,17,4,4,2,3,2,10,3,0,68,Postgraduate,1,0,269,17,449,24.944444444444443
Widow,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,51,Graduate,1,0,186,24,1064,42.56
Partnered,80952.0,20,778,178,689,41,27,44,1,8,5,11,8,1,57,Graduate,0,3,486,25,1757,67.57692307692308
Partnered,75507.0,56,709,93,374,104,80,80,1,8,6,6,3,0,47,Graduate,0,0,58,21,1440,65.45454545454545
Partnered,63855.0,28,359,35,314,93,116,89,1,7,3,13,4,0,48,Undergraduate,0,0,505,24,1006,40.24
Partnered,62220.0,55,799,12,375,16,12,12,5,7,6,5,6,1,54,Postgraduate,1,0,687,23,1226,51.083333333333336
Partnered,58512.0,25,895,10,101,13,0,152,5,3,4,8,8,0,62,Graduate,1,0,283,20,1171,55.76190476190476
Partnered,40662.0,0,40,2,23,0,4,23,2,2,1,3,4,0,47,Postgraduate,1,0,471,8,92,10.222222222222221
Partnered,38829.0,86,76,0,7,0,0,16,1,3,2,2,5,0,67,Postgraduate,1,0,84,8,99,11.0
Partnered,35523.0,8,11,5,22,12,5,11,2,3,0,3,7,0,45,Undergraduate,1,0,269,8,66,7.333333333333333
Single,79146.0,33,245,16,223,21,43,16,2,8,1,8,6,0,59,Graduate,2,0,66,19,564,28.2
Partnered,78285.0,13,647,107,391,175,67,40,1,6,4,10,3,0,38,Postgraduate,0,0,244,21,1427,64.86363636363636
Single,31626.0,12,39,1,9,2,1,34,1,2,1,2,7,1,48,Postgraduate,1,1,415,6,86,12.285714285714286
Single,75127.0,92,203,35,305,46,17,227,1,2,11,5,1,0,74,Graduate,0,0,38,19,833,41.65
Partnered,48726.0,90,138,3,38,4,0,59,3,3,2,4,6,0,71,Graduate,1,0,428,12,242,18.615384615384617
Partnered,74985.0,8,587,51,898,247,0,86,1,3,6,7,2,0,49,Graduate,0,0,656,17,1869,103.83333333333333
Partnered,67430.0,6,595,97,291,127,133,121,1,11,5,12,6,0,39,Graduate,0,0,662,29,1364,45.46666666666667
Partnered,46891.0,91,43,12,23,29,15,61,1,2,1,4,4,0,61,Undergraduate,1,0,301,8,183,20.333333333333332
Partnered,62058.0,52,301,7,74,10,0,58,4,6,1,7,6,0,70,Postgraduate,1,0,399,18,450,23.68421052631579
Partnered,72063.0,3,180,32,348,76,32,90,2,5,2,12,2,0,47,Graduate,1,0,361,21,758,34.45454545454545
Partnered,78939.0,57,794,115,243,150,0,205,1,8,5,6,3,0,75,Postgraduate,0,0,199,20,1507,71.76190476190476
Single,42720.0,9,392,5,91,28,26,112,8,7,3,7,8,1,61,Graduate,2,0,431,25,654,25.153846153846153
Partnered,33622.0,22,39,1,22,3,4,12,3,2,0,4,7,0,54,Graduate,2,0,442,9,81,8.1
Partnered,6835.0,76,107,2,12,2,2,12,0,0,0,1,20,0,69,Postgraduate,1,0,568,1,137,68.5
Partnered,41452.0,86,13,0,3,0,0,0,1,1,0,2,7,0,73,Graduate,2,0,480,4,16,3.2
Single,40760.0,64,70,0,17,0,0,6,2,2,1,3,6,0,61,Postgraduate,1,0,303,8,93,10.333333333333334
Partnered,74250.0,90,680,11,392,75,0,0,1,2,11,4,1,0,68,Postgraduate,0,0,154,18,1158,60.94736842105263
Single,51124.0,79,26,1,11,0,1,4,2,1,0,3,3,0,71,Postgraduate,2,0,193,6,43,6.142857142857143
Single,72258.0,28,522,0,522,227,120,134,2,6,9,5,2,0,55,Graduate,1,0,290,22,1525,66.30434782608695
Single,71466.0,86,412,12,546,78,182,0,1,4,4,10,1,0,52,Postgraduate,0,0,85,19,1230,61.5
Partnered,36283.0,42,6,5,5,8,0,5,2,1,0,3,4,0,50,Graduate,2,0,76,6,29,4.142857142857143
Single,20587.0,39,2,3,6,4,1,9,1,1,1,2,7,0,56,Graduate,1,0,49,5,25,4.166666666666667
Partnered,30467.0,8,1,3,8,2,5,5,1,1,0,2,7,0,54,Graduate,1,0,102,4,24,4.8
Partnered,31590.0,40,6,2,15,6,6,3,1,1,0,3,8,0,54,Graduate,1,0,376,5,38,6.333333333333333
Partnered,20425.0,5,4,12,5,3,16,17,2,2,0,3,7,0,40,Undergraduate,1,0,608,7,57,7.125
Partnered,17144.0,96,18,2,19,0,2,6,5,3,0,4,7,0,66,Postgraduate,2,0,134,12,47,3.6153846153846154
Divorced,42564.0,28,324,48,186,39,18,198,6,6,8,4,7,1,58,Postgraduate,1,1,543,24,813,32.52
Partnered,43783.0,22,327,9,125,25,4,139,6,7,1,8,7,0,48,Postgraduate,1,1,31,22,629,27.347826086956523
Divorced,40780.0,30,229,27,71,13,3,34,4,7,1,5,9,0,50,Graduate,1,0,659,17,377,20.944444444444443
Partnered,62847.0,45,521,168,706,80,76,61,1,3,6,4,2,0,81,Postgraduate,0,0,530,14,1612,107.46666666666667
